respondent_id,COUNTY,CITY,D3,D4_primary,D4,D2,Q65,D1,NEWS,SOCIAL,REGION_1,REGION_2,REGION_3,ReOUTLOOK,LIFESAS,LIFEWW,BELONGCOM,BELONGNEED,TRUST,Q7,Q8,Q56_breakfast,Q57_breakfast,Q56_lunch,Q57_lunch,Q56_dinner,Q57_dinner,Q10,Q11_day,Q11_night,HOUSING1,HOUSING2_1,HOUSING2_2,HOUSING2_3,HOUSING2_4
3988,Cleveland,,2,Black,3,-99,1,28150,6,3.0,2.0,5.0,1.0,4,10,9,4,10,8,1,2,6,4,7,3,7,3,2,5,5,5,10.0,1.0,,
1335,Union,,4,Hispanic,2,3,1,28173,2,,4.0,7.0,,3,8,7,5,8,7,2,1,6,1,7,3,5,2,1,5,3,7,1.0,4.0,2.0,7.0
1174,Union,,1,White,1,-99,2,28173,2,,4.0,5.0,,3,6,6,3,5,6,3,4,2,0,7,1,6,3,3,5,5,5,2.0,4.0,5.0,
1860,Cabarrus,,2,Black,3,6,1,28075,1,,4.0,2.0,5.0,2,6,6,1,6,6,3,3,4,3,7,3,6,0,3,4,3,8,2.0,,,
4176,Stanly,,3,White,1,4,1,28001,6,3.0,1.0,3.0,5.0,1,6,7,3,4,7,3,3,5,4,7,5,6,2,1,4,5,9,3.0,9.0,,
4183,Stanly,,4,White,1,7,2,28001,1,,7.0,5.0,4.0,3,5,5,3,4,6,1,4,2,1,6,5,7,5,1,4,4,4,3.0,,,
1251,Union,,2,White,1,6,4,28104,1,,1.0,2.0,9.0,1,6,6,3,6,8,1,2,4,2,4,2,6,4,2,5,3,7,6.0,10.0,,
3162,Rowan,,3,White,1,2,4,28146,6,2.0,6.0,2.0,5.0,3,3,4,3,4,6,2,2,3,1,6,1,6,3,2,4,2,4,1.0,4.0,,
1779,Cabarrus,,5,White,1,6,4,28025,3,,4.0,6.0,1.0,3,5,5,4,7,5,1,4,6,2,6,4,7,3,3,5,3,5,8.0,9.0,5.0,
4857,Anson,,3,Black,3,-99,2,28125,6,4.0,7.0,9.0,,3,8,8,3,9,8,2,2,3,0,4,4,7,3,2,4,4,7,3.0,4.0,6.0,
2230,Iredell,,2,White,1,-99,1,28625,1,,6.0,1.0,3.0,2,7,6,3,8,9,2,3,2,1,6,1,7,2,3,5,3,5,1.0,9.0,5.0,
4889,Anson,,1,Black,3,2,2,28125,6,3.0,5.0,,,1,6,6,3,5,5,2,3,3,2,6,4,5,1,1,3,4,5,9.0,8.0,6.0,
166,Mecklenburg,1.0,5,Hispanic,2,6,4,28209,2,,4.0,9.0,,3,7,8,3,7,5,2,4,6,4,5,1,7,2,2,5,4,4,9.0,1.0,6.0,4.0
2981,Rowan,,1,Hispanic,2,1,1,28146,1,,2.0,1.0,,4,2,3,3,4,3,1,5,7,3,6,2,7,4,1,4,3,7,4.0,,,
4532,Lancaster,,5,White,1,4,4,29717,6,2.0,4.0,,,3,6,6,1,6,4,3,2,3,3,7,5,6,2,3,4,2,7,9.0,3.0,,
1089,Union,,3,Hispanic,2,4,1,28104,2,,4.0,8.0,2.0,3,6,6,3,6,5,2,2,5,2,6,4,6,2,2,5,1,9,3.0,1.0,9.0,
4545,Lancaster,,5,White,1,6,4,29707,3,,5.0,2.0,3.0,3,4,4,3,3,2,3,2,5,3,6,3,5,3,2,4,4,4,3.0,,,
2721,York,,4,White,1,4,1,29710,7,,1.0,8.0,2.0,1,3,3,4,3,3,3,2,5,2,4,3,7,4,2,5,4,5,5.0,3.0,,
810,Mecklenburg,1.0,5,Hispanic,2,5,4,28205,2,,4.0,2.0,,3,9,9,3,8,10,3,2,5,1,7,1,6,2,4,3,2,7,3.0,2.0,,
834,Mecklenburg,2.0,2,White,1,5,1,28226,6,4.0,1.0,2.0,,1,7,8,3,8,4,2,5,4,3,7,3,6,2,3,4,3,6,8.0,9.0,,
1663,Gaston,,4,White,1,5,4,28053,6,4.0,2.0,,,2,4,3,3,5,5,1,3,5,4,6,2,7,2,3,3,1,6,2.0,10.0,,
4517,Lancaster,,3,White,1,5,1,29714,6,2.0,4.0,2.0,9.0,3,9,10,3,10,7,3,1,4,2,6,3,7,1,1,1,3,7,8.0,2.0,4.0,
2334,Iredell,,3,Black,3,6,3,28677,6,4.0,7.0,1.0,6.0,3,7,6,3,7,7,3,3,7,2,6,1,6,3,5,4,3,4,2.0,3.0,9.0,
1447,Gaston,,3,Black,3,-99,1,28056,1,,3.0,2.0,,1,6,7,4,5,6,3,1,6,4,7,2,7,4,4,4,5,3,7.0,,,
3884,Cleveland,,5,White,1,3,4,28152,6,2.0,1.0,5.0,,2,5,5,4,5,6,3,2,3,1,7,4,4,1,2,4,4,8,7.0,3.0,1.0,
3208,Lincoln,,5,White,1,6,4,28092,2,,1.0,2.0,5.0,3,10,10,3,10,9,3,3,7,0,4,2,7,1,1,3,4,6,9.0,,,
999,Mecklenburg,2.0,4,White,1,8,1,28209,6,2.0,6.0,1.0,,4,10,10,4,10,6,3,2,5,4,7,3,6,4,3,4,4,7,7.0,2.0,6.0,
372,Mecklenburg,2.0,3,Black,3,7,1,28282,2,,6.0,3.0,,2,9,9,4,7,8,1,2,6,2,6,2,7,4,4,5,4,8,2.0,3.0,,
16,Mecklenburg,1.0,3,White,1,5,1,28216,6,3.0,2.0,,,3,8,7,3,7,4,1,2,4,1,7,3,6,4,1,4,4,8,6.0,2.0,3.0,
1079,Union,,4,Black,3,2,2,28112,6,3.0,9.0,4.0,2.0,2,5,6,1,7,3,2,3,4,1,7,3,7,3,2,4,3,9,2.0,3.0,,
2472,Iredell,,2,White,1,5,1,28115,6,2.0,2.0,1.0,,2,6,7,3,6,8,3,5,4,1,5,3,6,1,1,4,4,6,4.0,8.0,1.0,3.0
2773,York,,1,White,1,3,1,29745,3,,6.0,2.0,,3,8,8,3,6,8,2,1,3,0,7,2,7,3,1,5,4,9,1.0,4.0,8.0,
4387,Chester,,2,White,1,2,1,29728,6,5.0,1.0,4.0,7.0,2,5,5,4,4,4,2,5,4,1,3,1,7,1,2,5,4,4,1.0,,,
3903,Cleveland,,2,White,1,-99,1,28164,1,,2.0,1.0,,3,5,4,2,6,5,1,3,5,1,6,1,6,3,3,4,3,4,2.0,6.0,9.0,
1348,Union,,2,Hispanic,2,7,1,28103,1,,4.0,1.0,7.0,2,5,5,4,6,7,3,4,5,1,6,5,6,1,1,5,1,10,4.0,10.0,,
696,Mecklenburg,2.0,2,White,1,5,1,28207,2,,1.0,3.0,2.0,3,8,8,3,7,7,1,1,4,0,6,5,6,1,3,5,2,7,6.0,,,
1917,Cabarrus,,1,White,1,2,1,28083,3,,2.0,6.0,,2,9,10,3,8,7,3,5,4,2,7,3,6,0,4,4,3,7,1.0,3.0,2.0,
4099,Stanly,,1,White,1,1,1,28127,1,,1.0,,,2,6,5,4,4,5,1,3,5,2,5,2,5,2,2,4,5,7,9.0,4.0,,
2312,Iredell,,5,White,1,5,4,28117,2,,3.0,2.0,7.0,3,10,10,5,10,6,3,1,4,0,7,3,6,4,2,5,1,6,7.0,3.0,9.0,
934,Mecklenburg,2.0,3,White,1,-98,1,28206,1,,2.0,6.0,5.0,2,3,3,2,3,3,3,4,7,4,7,2,7,4,4,3,3,10,5.0,6.0,3.0,2.0
631,Mecklenburg,1.0,2,White,1,5,1,28209,1,,7.0,5.0,9.0,3,4,4,1,4,3,3,3,3,2,5,1,7,2,4,2,3,5,2.0,4.0,5.0,
3993,Cleveland,,3,White,1,6,1,28150,1,,2.0,9.0,3.0,2,5,5,3,3,7,2,1,4,1,4,4,7,1,3,4,4,6,4.0,,,
1851,Cabarrus,,2,White,1,4,1,28025,1,,7.0,3.0,1.0,1,2,2,1,2,4,2,4,4,0,6,2,7,5,2,4,3,7,2.0,1.0,,
156,Mecklenburg,1.0,5,White,1,5,4,28206,1,,1.0,3.0,5.0,4,7,7,3,6,5,1,4,4,1,5,3,6,4,2,5,3,6,9.0,,,
2885,Rowan,,4,White,1,2,4,28023,3,,7.0,,,2,7,7,3,6,5,3,3,7,1,5,0,7,3,1,5,2,5,8.0,2.0,,
1669,Gaston,,1,Hispanic,2,5,2,28092,1,,9.0,4.0,,3,2,3,3,3,3,2,4,2,1,5,2,7,2,5,4,2,4,6.0,7.0,1.0,
493,Mecklenburg,1.0,3,White,1,8,1,28216,7,,4.0,3.0,9.0,3,9,10,2,9,7,4,5,4,0,5,1,6,3,4,2,3,7,7.0,9.0,4.0,
4756,Lancaster,,5,White,1,7,4,29714,3,,7.0,4.0,2.0,3,6,6,3,6,8,1,5,4,1,4,2,6,2,1,5,5,6,8.0,9.0,3.0,
2624,York,,5,White,1,5,4,29745,1,,2.0,,,1,6,6,3,6,9,2,3,4,1,7,3,6,3,2,4,4,7,8.0,6.0,,
1195,Union,,3,White,1,-99,1,28104,1,,6.0,7.0,1.0,3,6,6,5,5,5,2,3,4,0,6,3,6,3,1,3,3,8,3.0,,,
1182,Union,,3,Black,3,4,4,28110,6,5.0,2.0,1.0,,3,6,7,3,6,8,2,5,4,1,6,2,6,3,3,4,4,7,4.0,6.0,10.0,
4884,Anson,,2,White,1,6,3,28109,1,,8.0,5.0,,1,6,6,3,7,6,2,3,3,1,7,3,7,3,3,4,5,3,2.0,1.0,7.0,5.0
4708,Lancaster,,5,Black,3,-99,4,29717,7,,4.0,2.0,,1,7,8,2,7,7,2,3,5,1,6,0,6,5,3,5,4,9,1.0,8.0,,
3565,Catawba,,2,White,1,4,1,28609,2,,1.0,8.0,2.0,2,7,6,3,7,7,2,3,4,3,6,6,7,4,1,5,4,8,2.0,4.0,6.0,
4591,Lancaster,,5,White,1,3,4,29714,3,,5.0,4.0,9.0,2,9,10,2,8,7,3,3,5,1,7,2,7,3,2,5,4,9,9.0,6.0,,
1760,Gaston,,3,Black,3,2,1,28053,5,,1.0,2.0,,3,5,6,5,5,4,3,2,6,3,6,1,7,5,3,5,4,8,9.0,2.0,,
3839,Cleveland,,3,White,1,5,1,28152,3,,1.0,2.0,3.0,3,10,10,4,10,8,1,1,6,2,7,3,7,3,2,4,4,6,9.0,,,
4487,Chester,,3,Black,3,2,1,29728,7,,2.0,3.0,1.0,2,4,3,4,4,5,2,4,6,2,7,3,5,3,3,4,4,4,9.0,6.0,3.0,
19,Mecklenburg,1.0,2,White,1,7,3,28226,6,5.0,4.0,7.0,5.0,1,4,5,2,2,5,2,4,5,4,5,0,7,4,2,5,3,4,6.0,10.0,3.0,9.0
2150,Iredell,,2,White,1,5,1,28117,7,,4.0,,,1,5,5,3,4,9,3,3,5,3,6,2,6,5,2,4,4,7,2.0,8.0,,
2622,York,,2,White,1,-99,2,29710,6,2.0,2.0,4.0,5.0,2,10,10,2,10,8,2,3,6,1,5,3,7,2,2,4,2,5,10.0,,,
2582,York,,2,Black,3,1,1,29710,1,,6.0,5.0,,3,6,7,2,6,5,3,4,5,4,7,2,7,3,3,3,4,4,9.0,3.0,5.0,6.0
4683,Lancaster,,4,White,1,6,1,29720,1,,2.0,9.0,,3,8,9,3,9,7,2,2,6,0,7,5,7,5,1,4,4,6,3.0,9.0,2.0,
1741,Gaston,,2,Black,3,5,1,28054,2,,3.0,,,3,7,8,3,8,6,2,3,6,0,7,4,5,0,3,5,5,7,1.0,9.0,,
1454,Gaston,,1,White,1,3,2,28086,7,,1.0,9.0,4.0,2,6,7,3,6,6,1,2,5,1,7,2,7,5,4,5,2,5,2.0,10.0,4.0,1.0
4242,Stanly,,5,Black,3,7,1,28127,2,,3.0,8.0,9.0,1,8,7,4,8,8,1,4,4,1,7,2,7,5,3,4,5,7,4.0,1.0,9.0,
4447,Chester,,5,White,1,1,4,29727,1,,4.0,2.0,,1,4,4,3,4,9,3,5,7,2,6,2,7,3,2,4,4,6,3.0,6.0,9.0,
4766,Lancaster,,5,Hispanic,2,6,4,29707,6,5.0,1.0,7.0,,4,10,10,5,10,8,2,2,4,0,6,3,6,3,1,4,5,6,1.0,2.0,6.0,
3769,Catawba,,5,White,1,4,1,28613,2,,7.0,4.0,8.0,2,7,8,2,8,5,3,3,6,3,7,2,7,0,2,5,1,7,3.0,10.0,,
1200,Union,,2,White,1,8,1,28103,6,5.0,9.0,1.0,2.0,3,5,6,2,7,8,3,4,3,1,7,0,7,0,1,4,4,7,4.0,2.0,,
1618,Gaston,,2,White,1,5,1,28056,6,7.0,3.0,,,3,3,3,3,3,5,3,2,6,4,7,3,6,0,3,3,3,7,4.0,3.0,8.0,
239,Mecklenburg,2.0,4,White,1,6,1,28262,3,,5.0,3.0,4.0,3,9,9,4,9,5,3,3,6,6,5,2,6,2,2,4,4,4,5.0,9.0,10.0,
2437,Iredell,,4,White,1,2,1,28117,6,6.0,4.0,6.0,,1,6,6,2,6,6,1,2,5,3,5,3,7,1,4,5,3,6,2.0,8.0,,
4847,Anson,,2,Black,3,4,1,28125,6,2.0,3.0,7.0,2.0,3,7,7,3,8,7,1,2,4,0,5,0,7,4,2,4,5,4,7.0,3.0,6.0,
3122,Rowan,,4,Asian,4,4,4,28147,6,2.0,9.0,1.0,,3,3,2,2,2,5,3,3,3,1,7,3,7,2,3,4,3,8,9.0,2.0,,
1604,Gaston,,2,White,1,4,1,28054,1,,2.0,5.0,4.0,2,7,8,4,8,10,3,2,4,2,6,1,7,2,3,3,4,7,9.0,1.0,5.0,
2906,Rowan,,2,Hispanic,2,8,1,28023,2,,1.0,9.0,4.0,3,6,7,2,7,6,3,3,4,3,6,2,7,2,2,5,4,4,9.0,1.0,3.0,5.0
2107,Cabarrus,,3,White,1,5,1,28083,1,,5.0,9.0,4.0,4,5,4,3,5,5,3,4,3,1,7,2,4,1,3,5,4,6,3.0,5.0,7.0,
4771,Lancaster,,3,White,1,6,1,29707,6,2.0,5.0,2.0,3.0,1,9,9,4,8,8,1,5,4,0,6,4,7,4,4,5,2,7,6.0,8.0,2.0,
825,Mecklenburg,2.0,3,Black,3,7,1,28203,3,,1.0,4.0,3.0,2,5,5,2,5,5,3,4,5,2,7,3,6,2,1,3,4,7,3.0,,,
1244,Union,,1,White,1,1,1,28110,1,,8.0,1.0,6.0,3,2,2,4,1,2,3,1,6,3,6,1,7,4,2,5,3,9,6.0,10.0,1.0,
858,Mecklenburg,1.0,5,Asian,4,-99,4,28209,3,,2.0,6.0,4.0,3,4,4,2,2,6,1,4,4,0,6,0,7,4,2,2,1,10,4.0,9.0,8.0,
2830,York,,2,White,1,6,1,29710,2,,4.0,9.0,,2,4,3,3,5,2,3,4,3,1,7,4,7,3,2,4,4,6,9.0,2.0,,
794,Mecklenburg,2.0,2,Black,3,1,1,28208,1,,9.0,8.0,1.0,3,2,3,2,2,2,1,2,6,3,6,4,6,3,3,4,4,6,2.0,9.0,6.0,
1092,Union,,5,White,1,2,4,28104,1,,8.0,6.0,,3,7,6,3,7,5,4,2,0,0,6,3,7,2,3,5,5,10,7.0,1.0,2.0,
2506,York,,5,White,1,5,4,29730,6,3.0,7.0,2.0,,2,5,4,5,4,5,4,5,6,2,7,3,6,3,1,4,4,6,3.0,4.0,2.0,
2802,York,,5,White,1,4,4,29732,6,5.0,4.0,6.0,9.0,2,7,8,3,7,6,3,5,7,3,5,1,7,3,2,5,4,7,6.0,9.0,5.0,4.0
1123,Union,,4,Other,5,-99,4,28104,2,,6.0,5.0,,2,5,5,3,5,7,2,3,4,0,6,3,7,3,3,2,3,7,4.0,,,
2000,Cabarrus,,3,Black,3,7,2,28081,6,4.0,3.0,9.0,4.0,4,9,10,1,9,10,1,4,5,3,7,1,7,3,3,4,1,7,4.0,9.0,1.0,
2076,Cabarrus,,3,Black,3,4,3,28027,2,,5.0,,,4,6,7,2,4,4,2,4,4,2,7,4,6,3,3,3,4,8,4.0,6.0,,
1135,Union,,1,White,1,5,1,28173,6,4.0,2.0,,,3,6,7,2,8,4,1,4,6,1,4,1,7,4,2,5,4,7,9.0,,,
4060,Stanly,,3,White,1,4,2,28128,1,,4.0,3.0,,3,9,8,1,10,6,3,4,6,1,6,4,7,3,4,5,3,5,9.0,1.0,,
2975,Rowan,,2,White,1,5,1,28147,6,2.0,7.0,4.0,,1,5,4,3,6,7,4,3,5,2,6,2,6,3,2,4,3,3,3.0,4.0,,
3808,Cleveland,,2,White,1,5,2,28164,3,,8.0,4.0,,2,5,4,2,5,6,1,3,2,1,6,0,6,2,3,4,4,3,1.0,3.0,,
332,Mecklenburg,1.0,4,White,1,5,4,28217,3,,2.0,4.0,6.0,3,6,6,3,5,5,4,2,5,2,6,3,7,4,5,4,5,6,10.0,3.0,,
2139,Cabarrus,,3,Black,3,7,1,28083,6,2.0,5.0,4.0,,2,8,8,3,7,8,2,5,6,3,6,4,7,2,1,5,4,4,4.0,,,
552,Mecklenburg,1.0,1,Black,3,1,1,28210,1,,6.0,2.0,,2,1,1,2,1,2,1,1,4,2,6,0,7,2,4,5,2,8,6.0,4.0,9.0,8.0
4259,Stanly,,2,White,1,7,1,28001,6,1.0,4.0,2.0,5.0,3,9,10,4,9,8,3,4,3,0,7,2,7,4,1,5,3,5,9.0,7.0,8.0,
3586,Catawba,,4,White,1,4,3,28609,1,,2.0,7.0,8.0,2,3,2,4,4,4,3,3,5,2,6,2,6,2,1,4,1,8,9.0,1.0,2.0,10.0
4885,Anson,,1,White,1,4,1,28125,2,,1.0,,,2,7,7,2,6,5,2,4,5,4,6,3,7,4,2,5,4,5,2.0,1.0,,
4607,Lancaster,,4,White,1,4,4,29714,6,3.0,8.0,,,1,5,6,2,6,7,4,4,2,0,7,2,6,2,2,4,3,4,1.0,3.0,,
295,Mecklenburg,1.0,3,Hispanic,2,7,1,28207,2,,5.0,7.0,1.0,4,10,9,2,10,8,3,4,4,3,5,4,7,2,1,4,1,8,1.0,2.0,9.0,
2234,Iredell,,3,White,1,6,1,28625,1,,5.0,3.0,,4,8,9,3,9,9,1,2,4,0,7,5,7,3,5,5,3,8,5.0,1.0,,
2476,Iredell,,3,Black,3,7,1,28117,6,4.0,5.0,,,2,9,9,3,9,10,1,5,6,3,7,3,7,1,1,4,3,5,5.0,6.0,3.0,
2857,York,,4,White,1,8,4,29730,6,5.0,1.0,3.0,,3,8,7,3,6,8,3,2,4,3,7,6,7,3,3,5,2,7,7.0,4.0,,
1148,Union,,2,White,1,-99,1,28104,6,2.0,2.0,3.0,6.0,3,6,6,3,6,8,1,4,3,1,6,1,6,3,2,4,5,6,6.0,3.0,2.0,
2995,Rowan,,3,White,1,3,1,28146,6,5.0,7.0,5.0,4.0,1,3,2,3,3,5,1,1,4,1,6,1,7,5,1,5,4,5,5.0,6.0,7.0,
2901,Rowan,,3,Hispanic,2,3,1,28147,5,,9.0,8.0,5.0,1,6,6,4,6,5,3,1,6,1,7,2,7,4,3,4,4,9,3.0,6.0,,
1453,Gaston,,2,Black,3,4,1,28092,6,2.0,6.0,1.0,,1,8,8,5,9,8,2,2,4,0,7,4,7,4,4,4,2,5,1.0,5.0,8.0,
4133,Stanly,,5,White,1,6,4,28159,6,3.0,4.0,2.0,1.0,1,8,8,3,7,7,3,3,3,1,6,3,6,2,4,4,4,4,1.0,9.0,8.0,
3943,Cleveland,,4,White,1,2,1,28086,2,,2.0,,,3,3,2,2,1,2,2,4,5,2,6,3,7,2,3,5,3,8,5.0,1.0,,
3610,Catawba,,3,White,1,3,2,28609,6,2.0,1.0,9.0,3.0,2,10,10,3,9,9,3,3,4,2,4,3,7,5,2,5,4,5,1.0,6.0,,
1659,Gaston,,4,White,1,2,4,28053,1,,4.0,1.0,,4,7,8,4,6,8,2,3,4,2,6,3,7,3,2,4,5,8,9.0,,,
89,Mecklenburg,2.0,5,Asian,4,2,4,28206,6,2.0,4.0,2.0,1.0,2,4,3,4,4,4,4,4,5,3,6,2,7,3,4,3,4,10,9.0,5.0,,
2166,Iredell,,4,White,1,3,3,28625,6,6.0,4.0,3.0,,3,3,4,3,2,2,2,1,4,2,6,3,6,3,1,5,5,5,3.0,6.0,,
3921,Cleveland,,4,White,1,5,4,28164,2,,6.0,3.0,7.0,2,4,5,4,2,7,1,4,4,2,7,4,6,5,3,5,4,6,2.0,,,
1350,Union,,4,White,1,7,3,28112,6,5.0,4.0,,,1,5,5,5,6,6,2,4,5,1,4,3,7,4,1,5,1,7,2.0,5.0,1.0,8.0
873,Mecklenburg,2.0,4,White,1,4,3,28212,6,1.0,2.0,,,3,7,8,3,6,8,3,3,4,2,6,3,7,4,2,2,3,6,2.0,4.0,9.0,
915,Mecklenburg,1.0,3,White,1,1,1,28277,6,2.0,6.0,1.0,2.0,2,6,5,3,6,6,2,1,5,1,6,0,7,5,3,4,1,7,9.0,1.0,4.0,5.0
4564,Lancaster,,4,White,1,2,1,29707,1,,3.0,2.0,1.0,4,8,7,3,6,7,3,1,6,2,6,2,6,2,2,5,4,8,10.0,3.0,9.0,
774,Mecklenburg,2.0,2,Black,3,4,1,28208,6,2.0,4.0,1.0,5.0,4,9,9,3,10,6,2,4,4,0,4,1,6,4,5,3,3,8,9.0,4.0,,
1059,Union,,5,White,1,5,4,28112,1,,4.0,9.0,1.0,3,9,9,3,9,10,1,4,6,1,6,3,5,0,5,4,4,4,5.0,7.0,1.0,
1972,Cabarrus,,5,White,1,3,4,28027,6,2.0,7.0,3.0,8.0,1,10,10,2,10,10,1,2,5,2,3,1,7,1,4,3,3,8,2.0,,,
3214,Lincoln,,1,Black,3,3,1,28093,1,,8.0,5.0,2.0,4,6,7,4,4,6,2,1,2,0,6,3,7,1,5,5,4,7,7.0,5.0,1.0,6.0
1026,Mecklenburg,2.0,4,White,1,-99,1,28206,1,,2.0,1.0,5.0,1,6,7,3,5,6,4,4,5,2,5,1,6,0,2,4,4,6,2.0,10.0,,
1492,Gaston,,2,White,1,2,1,28086,1,,5.0,7.0,1.0,4,2,1,2,1,6,2,1,5,3,6,4,7,3,3,5,4,8,1.0,8.0,6.0,
2273,Iredell,,2,White,1,3,2,28677,2,,6.0,1.0,7.0,3,7,7,2,8,4,2,3,2,0,7,2,7,6,3,2,3,6,4.0,3.0,,
4964,Anson,,4,White,1,2,1,28170,6,4.0,3.0,9.0,,2,5,5,3,5,10,3,3,4,2,6,3,7,2,1,5,4,6,4.0,9.0,1.0,
1013,Mecklenburg,1.0,2,White,1,2,1,28273,1,,6.0,7.0,2.0,3,8,8,1,7,10,3,1,4,3,4,1,7,2,3,5,3,6,3.0,1.0,2.0,
3678,Catawba,,4,White,1,-99,1,28613,6,3.0,9.0,5.0,,2,5,6,4,6,4,1,3,3,0,7,3,7,3,4,3,2,5,6.0,8.0,,
2095,Cabarrus,,4,White,1,3,1,28081,5,,2.0,8.0,1.0,3,4,4,3,4,3,1,1,6,4,6,2,7,4,3,4,5,6,7.0,5.0,4.0,
3043,Rowan,,3,Asian,4,2,1,28023,6,2.0,2.0,6.0,,2,2,2,1,2,1,3,3,3,1,7,1,7,1,3,5,5,3,9.0,2.0,4.0,8.0
2639,York,,1,White,1,3,3,29745,2,,4.0,1.0,8.0,2,7,7,4,7,5,2,3,5,3,6,2,7,3,4,5,4,6,3.0,4.0,10.0,
892,Mecklenburg,2.0,2,White,1,8,1,28213,3,,2.0,7.0,9.0,2,7,6,3,7,8,1,5,6,4,7,3,7,3,4,5,1,6,6.0,10.0,8.0,
4856,Anson,,3,White,1,5,4,28109,1,,2.0,9.0,,2,6,5,3,4,5,3,1,3,2,5,2,7,3,2,4,4,1,3.0,8.0,,
855,Mecklenburg,1.0,5,Black,3,3,4,28277,1,,2.0,,,2,7,8,2,9,7,2,3,5,1,7,2,7,3,2,3,2,5,10.0,,,
181,Mecklenburg,1.0,3,White,1,8,1,28269,6,2.0,5.0,6.0,4.0,1,5,6,2,4,7,1,5,5,1,5,3,6,2,3,4,4,7,2.0,9.0,1.0,
4396,Chester,,2,Black,3,4,1,29706,1,,2.0,3.0,,3,4,4,3,3,6,2,3,3,0,6,3,7,2,2,5,4,3,1.0,2.0,,
1406,Union,,3,White,1,1,4,28103,6,2.0,9.0,4.0,1.0,2,9,8,1,8,9,3,1,6,1,4,4,7,3,2,5,3,7,2.0,3.0,1.0,
1874,Cabarrus,,3,White,1,4,2,28081,1,,1.0,8.0,5.0,2,7,8,4,6,8,1,4,6,3,6,1,6,5,3,4,4,8,4.0,9.0,1.0,
2465,Iredell,,4,White,1,2,1,28625,1,,9.0,2.0,,2,5,5,4,5,7,3,2,3,1,5,1,7,3,1,5,5,5,1.0,7.0,3.0,
1967,Cabarrus,,1,White,1,1,2,28025,1,,5.0,2.0,9.0,3,5,4,3,7,6,4,2,5,1,7,2,7,2,4,1,4,7,9.0,8.0,2.0,
2945,Rowan,,4,White,1,2,1,28146,6,2.0,2.0,,,3,3,2,3,3,3,2,3,3,1,4,1,5,1,1,5,5,8,4.0,3.0,,
1401,Union,,3,White,1,6,1,28110,2,,5.0,1.0,,4,5,4,2,5,3,2,3,3,0,7,2,7,3,4,4,4,6,5.0,2.0,,
394,Mecklenburg,2.0,5,Black,3,4,2,28209,1,,5.0,2.0,4.0,1,5,6,3,5,7,1,4,4,3,4,2,5,2,2,4,4,9,4.0,,,
1080,Union,,2,White,1,3,2,28103,6,4.0,1.0,4.0,,1,8,9,2,9,9,1,3,4,2,5,0,6,4,3,4,2,9,9.0,6.0,7.0,4.0
1336,Union,,3,White,1,5,1,28112,7,,7.0,,,2,7,7,2,7,6,3,5,6,1,7,3,7,3,1,5,4,6,2.0,1.0,,
2263,Iredell,,5,Asian,4,2,4,28687,3,,3.0,,,3,5,5,1,5,5,1,2,6,4,6,3,7,0,2,5,3,6,9.0,3.0,8.0,
